state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Connecticut,2020-02-22,10,-1,74,10,3,-2
Connecticut,2020-02-23,9,0,64,14,2,-1
Connecticut,2020-02-24,4,2,45,3,4,0
Connecticut,2020-02-25,1,-1,4,1,2,0
Connecticut,2020-02-26,5,1,3,2,2,0
Connecticut,2020-02-27,3,1,4,3,3,0
Connecticut,2020-02-28,4,0,1,3,3,0
Connecticut,2020-02-29,9,0,27,6,2,-2
Connecticut,2020-03-01,10,5,-1,10,3,-1
Connecticut,2020-03-02,7,8,31,2,4,-1
Connecticut,2020-03-03,6,10,19,5,3,-1
Connecticut,2020-03-04,6,8,22,4,2,-1
Connecticut,2020-03-05,7,8,29,5,3,-1
Connecticut,2020-03-06,2,1,1,2,2,1
Connecticut,2020-03-07,10,6,50,7,3,-1
Connecticut,2020-03-08,8,3,55,10,2,0
Connecticut,2020-03-09,9,8,95,2,2,-1
Connecticut,2020-03-10,4,9,24,0,1,0
Connecticut,2020-03-11,5,12,30,-3,-1,0
Connecticut,2020-03-12,5,34,10,-9,-2,2
Connecticut,2020-03-13,-4,30,6,-18,-12,6
Connecticut,2020-03-14,-7,16,95,-12,-3,3
Connecticut,2020-03-15,-13,4,56,-19,-8,5
Connecticut,2020-03-16,-7,26,16,-25,-23,9
Connecticut,2020-03-17,-27,8,-10,-30,-31,14
Connecticut,2020-03-18,-27,6,46,-30,-34,14
Connecticut,2020-03-19,-33,2,-12,-40,-36,17
Connecticut,2020-03-20,-32,12,12,-41,-37,18
Connecticut,2020-03-21,-38,1,100,-38,-26,11
Connecticut,2020-03-22,-43,-15,27,-48,-29,11
Connecticut,2020-03-23,-47,-24,-46,-53,-45,21
Connecticut,2020-03-24,-43,-16,17,-46,-47,21
Connecticut,2020-03-25,-46,-19,-21,-51,-49,22
Connecticut,2020-03-26,-41,-14,55,-48,-48,21
Connecticut,2020-03-27,-42,-16,55,-51,-47,22
Connecticut,2020-03-28,-48,-20,29,-55,-35,15
Connecticut,2020-03-29,-56,-32,-52,-64,-38,15
Connecticut,2020-03-30,-43,-19,-6,-53,-49,21
Connecticut,2020-03-31,-42,-18,8,-51,-51,22
Connecticut,2020-04-01,-40,-11,28,-49,-51,21
Connecticut,2020-04-02,-44,-12,-3,-54,-51,23
Connecticut,2020-04-03,-46,-12,-35,-59,-52,26
Connecticut,2020-04-04,-47,-15,88,-53,-38,15
Connecticut,2020-04-05,-50,-26,23,-61,-38,13
Connecticut,2020-04-06,-39,-16,60,-52,-52,21
Connecticut,2020-04-07,-41,-16,42,-50,-53,22
Connecticut,2020-04-08,-46,-17,-3,-54,-54,23
Connecticut,2020-04-09,-48,-17,-32,-59,-55,25
Connecticut,2020-04-10,-45,-10,-10,-59,-62,28
Connecticut,2020-04-11,-44,-9,76,-54,-40,15
Connecticut,2020-04-12,-65,-50,25,-62,-45,13
Connecticut,2020-04-13,-57,-41,-52,-66,-56,26
Connecticut,2020-04-14,-39,-14,35,-50,-52,21
Connecticut,2020-04-15,-36,-14,20,-52,-52,22
Connecticut,2020-04-16,-40,-15,8,-53,-52,23
Connecticut,2020-04-17,-42,-18,5,-55,-51,24
Connecticut,2020-04-18,-51,-24,-12,-59,-38,17
Connecticut,2020-04-19,-41,-23,73,-55,-34,11
Connecticut,2020-04-20,-39,-19,17,-52,-50,21
Connecticut,2020-04-21,-46,-25,-28,-55,-52,24
Connecticut,2020-04-22,-40,-17,5,-51,-52,22
Connecticut,2020-04-23,-41,-18,1,-52,-51,22
Connecticut,2020-04-24,-45,-22,-33,-58,-51,26
Connecticut,2020-04-25,-37,-17,174,-44,-33,11
Connecticut,2020-04-26,-50,-29,-41,-63,-36,14
Connecticut,2020-04-27,-40,-20,-18,-54,-49,22
Connecticut,2020-04-28,-33,-14,55,-45,-50,14
Connecticut,2020-04-29,-37,-17,19,-48,-51,21
Connecticut,2020-04-30,-42,-18,-24,-55,-51,23
Connecticut,2020-05-01,-37,-14,11,-51,-48,23
Connecticut,2020-05-02,-32,-11,180,-39,-30,10
Connecticut,2020-05-03,-30,-13,116,-44,-28,8
Connecticut,2020-05-04,-30,-11,34,-48,-48,19
Connecticut,2020-05-05,-27,-5,46,-43,-48,18
Connecticut,2020-05-06,-35,-13,4,-47,-49,20
Connecticut,2020-05-07,-31,-8,63,-44,-48,19
Connecticut,2020-05-08,-37,-10,-6,-51,-47,22
Connecticut,2020-05-09,-35,1,37,-48,-30,12
Delaware,2020-02-15,7,2,19,20,2,0
Delaware,2020-02-16,6,2,21,4,2,-1
Delaware,2020-02-17,12,2,35,6,-23,4
Delaware,2020-02-18,4,0,32,7,3,-1
Delaware,2020-02-19,2,0,7,5,2,0
Delaware,2020-02-20,3,1,-3,6,2,0
Delaware,2020-02-21,1,-2,-11,1,2,0
Delaware,2020-02-22,8,4,60,16,5,-1
Delaware,2020-02-23,6,5,60,11,2,-1
Delaware,2020-02-24,2,1,19,3,4,-1
Delaware,2020-02-25,1,-3,-10,-4,2,1
Delaware,2020-02-26,7,2,0,3,2,-1
Delaware,2020-02-27,6,3,-2,2,2,0
Delaware,2020-02-28,7,3,-3,1,3,-1
Delaware,2020-02-29,12,4,9,10,6,-1
Delaware,2020-03-01,12,7,7,1,3,-1
Delaware,2020-03-02,10,4,33,4,4,-1
Delaware,2020-03-03,11,6,18,5,3,-1
Delaware,2020-03-04,10,4,37,7,1,-1
Delaware,2020-03-05,9,5,27,8,2,-1
Delaware,2020-03-06,1,-3,-18,-1,1,1
Delaware,2020-03-07,12,7,39,15,6,-1
Delaware,2020-03-08,10,8,71,14,2,-1
Delaware,2020-03-09,10,5,83,4,2,-1
Delaware,2020-03-10,8,6,28,2,1,0
Delaware,2020-03-11,7,7,24,1,1,0
Delaware,2020-03-12,9,18,17,0,-2,0
Delaware,2020-03-13,6,18,34,-9,-5,3
Delaware,2020-03-14,-1,11,84,-3,0,2
Delaware,2020-03-15,-7,6,38,-16,-8,3
Delaware,2020-03-16,0,15,9,-15,-19,7
Delaware,2020-03-17,-17,4,36,-21,-27,11
Delaware,2020-03-18,-23,1,39,-24,-30,12
Delaware,2020-03-19,-26,0,13,-39,-33,14
Delaware,2020-03-20,-25,1,75,-37,-34,15
Delaware,2020-03-21,-34,-7,56,-38,-21,11
Delaware,2020-03-22,-38,-13,-5,-53,-29,10
Delaware,2020-03-23,-31,-9,-46,-50,-39,17
Delaware,2020-03-24,-42,-22,24,-46,-44,18
Delaware,2020-03-25,-47,-29,-44,-50,-46,21
Delaware,2020-03-26,-38,-18,51,-41,-45,18
Delaware,2020-03-27,-40,-22,29,-48,-44,20
Delaware,2020-03-28,-51,-32,-45,-55,-34,16
Delaware,2020-03-29,-47,-28,-6,-57,-37,12
Delaware,2020-03-30,-37,-23,12,-47,-45,17
Delaware,2020-03-31,-39,-23,-18,-49,-47,20
Delaware,2020-04-01,-36,-17,13,-44,-47,19
Delaware,2020-04-02,-37,-17,9,-46,-48,20
Delaware,2020-04-03,-40,-19,-15,-52,-47,22
Delaware,2020-04-04,-47,-25,7,-50,-36,15
Delaware,2020-04-05,-47,-27,37,-56,-39,12
Delaware,2020-04-06,-37,-22,36,-45,-47,18
Delaware,2020-04-07,-39,-21,15,-49,-49,20
Delaware,2020-04-08,-38,-19,36,-44,-50,20
Delaware,2020-04-09,-39,-19,-13,-52,-51,21
Delaware,2020-04-10,-42,-21,-33,-58,-57,25
Delaware,2020-04-11,-41,-16,26,-48,-37,14
Delaware,2020-04-12,-65,-41,-5,-61,-46,12
Delaware,2020-04-13,-50,-33,-44,-61,-53,23
Delaware,2020-04-14,-36,-17,7,-49,-48,20
Delaware,2020-04-15,-34,-15,-6,-46,-49,20
Delaware,2020-04-16,-36,-16,-11,-47,-49,20
Delaware,2020-04-17,-40,-22,-18,-52,-48,22
Delaware,2020-04-18,-45,-23,-27,-49,-35,15
Delaware,2020-04-19,-42,-21,26,-53,-37,11
Delaware,2020-04-20,-37,-21,-13,-45,-48,19
Delaware,2020-04-21,-38,-19,-13,-51,-48,20
Delaware,2020-04-22,-35,-15,0,-44,-48,19
Delaware,2020-04-23,-38,-18,-17,-49,-49,21
Delaware,2020-04-24,-42,-24,-46,-56,-49,24
Delaware,2020-04-25,-37,-16,,-37,-30,11
Delaware,2020-04-26,-48,-24,-53,-60,-39,13
Delaware,2020-04-27,-36,-17,-23,-48,-46,19
Delaware,2020-04-28,-31,-14,27,-40,-47,13
Delaware,2020-04-29,-32,-15,14,-42,-48,18
Delaware,2020-04-30,-38,-20,-32,-48,-48,21
Delaware,2020-05-01,-33,-14,-5,-42,-46,20
Delaware,2020-05-02,-32,-11,,-26,-28,10
Delaware,2020-05-03,-37,-14,20,-44,-34,9
Delaware,2020-05-04,-26,-11,19,-41,-44,16
Delaware,2020-05-05,-25,-8,9,-38,-45,17
Delaware,2020-05-06,-34,-15,-29,-44,-46,19
Delaware,2020-05-07,-27,-7,34,-38,-45,17
Delaware,2020-05-08,-33,-11,-22,-47,-45,20
Delaware,2020-05-09,-31,0,,-37,-25,11
District of Columbia,2020-02-15,-2,-2,13,-2,-2,-1
District of Columbia,2020-02-16,6,-1,37,3,0,-1
District of Columbia,2020-02-17,-10,-12,21,-39,-52,11
District of Columbia,2020-02-18,-5,-2,13,-3,-5,1
District of Columbia,2020-02-19,-2,-3,7,-3,-5,1
District of Columbia,2020-02-20,1,-6,10,-1,-5,2
District of Columbia,2020-02-21,-3,-11,7,-3,-5,2
District of Columbia,2020-02-22,0,4,25,5,2,-1
District of Columbia,2020-02-23,3,2,25,7,3,-1
District of Columbia,2020-02-24,-2,-7,11,2,5,1
District of Columbia,2020-02-25,3,-6,9,5,2,0
District of Columbia,2020-02-26,3,-3,-7,6,1,0
District of Columbia,2020-02-27,5,-6,-5,6,0,0
District of Columbia,2020-02-28,3,-3,-5,3,1,-1
District of Columbia,2020-02-29,-6,-2,-9,-5,1,-1
District of Columbia,2020-03-01,2,2,0,2,2,-2
District of Columbia,2020-03-02,0,-2,-1,4,5,0
District of Columbia,2020-03-03,8,3,2,3,3,-1
District of Columbia,2020-03-04,14,5,8,5,1,-1
District of Columbia,2020-03-05,8,1,6,3,1,0
District of Columbia,2020-03-06,2,-2,-6,1,0,1
District of Columbia,2020-03-07,1,3,8,3,0,-1
District of Columbia,2020-03-08,11,5,33,9,1,-1
District of Columbia,2020-03-09,6,5,31,0,1,1
District of Columbia,2020-03-10,5,3,13,-3,-1,0
District of Columbia,2020-03-11,0,3,5,0,-5,2
District of Columbia,2020-03-12,-4,11,0,-13,-9,3
District of Columbia,2020-03-13,-12,14,-5,-21,-15,5
District of Columbia,2020-03-14,-28,5,-26,-30,-9,4
District of Columbia,2020-03-15,-35,-7,-43,-39,-17,6
District of Columbia,2020-03-16,-31,-1,-35,-43,-40,16
District of Columbia,2020-03-17,-40,-6,-22,-55,-52,19
District of Columbia,2020-03-18,-45,-13,-32,-59,-56,21
District of Columbia,2020-03-19,-46,-11,-18,-63,-58,22
District of Columbia,2020-03-20,-50,-10,-16,-62,-56,22
District of Columbia,2020-03-21,-60,-14,-19,-59,-38,13
District of Columbia,2020-03-22,-60,-24,-25,-64,-42,12
District of Columbia,2020-03-23,-59,-32,-66,-72,-63,27
District of Columbia,2020-03-24,-55,-24,-46,-71,-64,25
District of Columbia,2020-03-25,-61,-31,-68,-75,-67,28
District of Columbia,2020-03-26,-58,-25,-42,-73,-66,27
District of Columbia,2020-03-27,-59,-27,-45,-70,-64,27
District of Columbia,2020-03-28,-68,-30,-69,-70,-47,17
District of Columbia,2020-03-29,-64,-30,-41,-68,-47,14
District of Columbia,2020-03-30,-57,-26,-47,-72,-65,26
District of Columbia,2020-03-31,-61,-32,-65,-77,-69,28
District of Columbia,2020-04-01,-58,-26,-62,-76,-70,28
District of Columbia,2020-04-02,-61,-30,-58,-77,-70,29
District of Columbia,2020-04-03,-60,-26,-57,-74,-67,29
District of Columbia,2020-04-04,-67,-27,-65,-71,-48,17
District of Columbia,2020-04-05,-66,-33,-50,-71,-49,15
District of Columbia,2020-04-06,-60,-33,-51,-75,-68,28
District of Columbia,2020-04-07,-63,-34,-61,-78,-71,28
District of Columbia,2020-04-08,-62,-31,-57,-77,-71,28
District of Columbia,2020-04-09,-64,-36,-67,-78,-71,30
District of Columbia,2020-04-10,-65,-34,-74,-77,-70,31
District of Columbia,2020-04-11,-69,-28,-65,-69,-48,17
District of Columbia,2020-04-12,-72,-41,-61,-73,-51,15
District of Columbia,2020-04-13,-67,-41,-70,-79,-71,30
District of Columbia,2020-04-14,-62,-31,-58,-77,-69,28
District of Columbia,2020-04-15,-61,-29,-61,-77,-70,28
District of Columbia,2020-04-16,-64,-33,-61,-79,-71,30
District of Columbia,2020-04-17,-64,-32,-61,-76,-67,29
District of Columbia,2020-04-18,-70,-31,-69,-71,-47,18
District of Columbia,2020-04-19,-67,-33,-48,-71,-48,15
District of Columbia,2020-04-20,-62,-34,-55,-76,-68,28
District of Columbia,2020-04-21,-63,-33,-61,-78,-69,28
District of Columbia,2020-04-22,-61,-31,-57,-77,-70,28
District of Columbia,2020-04-23,-65,-36,-69,-78,-70,30
District of Columbia,2020-04-24,-65,-34,-69,-77,-69,30
District of Columbia,2020-04-25,-68,-28,-56,-69,-47,16
District of Columbia,2020-04-26,-69,-39,-73,-74,-51,16
District of Columbia,2020-04-27,-62,-34,-60,-76,-68,28
District of Columbia,2020-04-28,-62,-32,-66,-77,-69,22
District of Columbia,2020-04-29,-58,-26,-50,-76,-69,26
District of Columbia,2020-04-30,-66,-39,-77,-81,-71,31
District of Columbia,2020-05-01,-59,-23,-56,-74,-66,27
District of Columbia,2020-05-02,-62,-18,-23,-64,-41,13
District of Columbia,2020-05-03,-64,-30,-56,-71,-44,14
District of Columbia,2020-05-04,-57,-25,-47,-74,-66,25
District of Columbia,2020-05-05,-56,-26,-61,-76,-68,26
District of Columbia,2020-05-06,-62,-31,-72,-78,-69,29
District of Columbia,2020-05-07,-57,-23,-45,-74,-68,26
District of Columbia,2020-05-08,-63,-27,-67,-74,-66,28
District of Columbia,2020-05-09,-64,-18,-66,-68,-42,15
Florida,2020-02-15,2,0,9,2,-1,-1
Florida,2020-02-16,4,1,8,2,-2,0
Florida,2020-02-17,5,1,24,0,-19,4
Florida,2020-02-18,3,2,13,6,1,0
Florida,2020-02-19,3,0,15,5,2,0
Florida,2020-02-20,2,1,10,4,1,0
Florida,2020-02-21,0,-1,-12,0,0,1
Florida,2020-02-22,3,0,8,2,1,0
Florida,2020-02-23,5,2,20,4,0,0
Florida,2020-02-24,3,1,12,3,2,0
Florida,2020-02-25,3,1,6,5,2,0
Florida,2020-02-26,5,1,-9,4,1,0
Florida,2020-02-27,8,6,2,7,2,-1
Florida,2020-02-28,5,4,4,5,1,-1
Florida,2020-02-29,6,4,8,6,2,-2
Florida,2020-03-01,8,7,10,7,1,-1
Florida,2020-03-02,7,7,8,3,1,0
Florida,2020-03-03,8,10,10,3,2,0
Florida,2020-03-04,6,6,14,1,1,0
Florida,2020-03-05,5,5,8,2,1,0
Florida,2020-03-06,3,3,9,-1,1,0
Florida,2020-03-07,4,3,13,2,2,-1
Florida,2020-03-08,4,3,-1,1,0,1
Florida,2020-03-09,5,5,6,-1,0,0
Florida,2020-03-10,5,6,11,1,0,0
Florida,2020-03-11,6,7,20,-1,0,0
Florida,2020-03-12,5,17,17,-2,-1,0
Florida,2020-03-13,1,22,14,-8,-5,2
Florida,2020-03-14,-6,16,8,-10,-1,2
Florida,2020-03-15,-9,9,12,-13,-6,3
Florida,2020-03-16,-6,14,0,-16,-18,6
Florida,2020-03-17,-11,14,1,-18,-22,8
Florida,2020-03-18,-19,7,0,-26,-26,10
Florida,2020-03-19,-23,6,-7,-33,-29,12
Florida,2020-03-20,-29,6,-15,-38,-31,14
Florida,2020-03-21,-39,-3,-33,-42,-26,11
Florida,2020-03-22,-43,-12,-33,-49,-33,11
Florida,2020-03-23,-37,-12,-33,-46,-36,15
Florida,2020-03-24,-38,-12,-33,-46,-39,16
Florida,2020-03-25,-38,-13,-33,-48,-40,17
Florida,2020-03-26,-40,-14,-34,-51,-42,18
Florida,2020-03-27,-44,-17,-38,-55,-43,20
Florida,2020-03-28,-49,-23,-48,-59,-36,14
Florida,2020-03-29,-50,-26,-48,-63,-41,13
Florida,2020-03-30,-42,-22,-42,-55,-43,17
Florida,2020-03-31,-42,-20,-46,-52,-45,19
Florida,2020-04-01,-37,-11,-41,-53,-45,18
Florida,2020-04-02,-39,-11,-42,-55,-46,19
Florida,2020-04-03,-47,-19,-49,-59,-48,22
Florida,2020-04-04,-53,-25,-57,-64,-40,16
Florida,2020-04-05,-57,-33,-70,-70,-45,15
Florida,2020-04-06,-47,-25,-50,-59,-48,19
Florida,2020-04-07,-46,-23,-46,-56,-49,20
Florida,2020-04-08,-46,-23,-45,-57,-49,20
Florida,2020-04-09,-46,-21,-46,-58,-50,21
Florida,2020-04-10,-47,-20,-48,-61,-53,23
Florida,2020-04-11,-49,-20,-54,-65,-40,15
Florida,2020-04-12,-66,-49,-63,-69,-50,15
Florida,2020-04-13,-47,-24,-53,-59,-47,19
Florida,2020-04-14,-46,-23,-52,-56,-48,20
Florida,2020-04-15,-42,-21,-53,-56,-47,20
Florida,2020-04-16,-44,-22,-56,-57,-48,21
Florida,2020-04-17,-44,-21,-47,-58,-47,21
Florida,2020-04-18,-49,-25,-60,-62,-38,15
Florida,2020-04-19,-48,-23,-52,-64,-40,13
Florida,2020-04-20,-44,-25,-54,-58,-46,19
Florida,2020-04-21,-41,-20,-43,-53,-46,19
Florida,2020-04-22,-41,-20,-40,-54,-46,19
Florida,2020-04-23,-43,-21,-47,-55,-47,20
Florida,2020-04-24,-47,-25,-60,-60,-47,23
Florida,2020-04-25,-45,-19,-52,-59,-36,13
Florida,2020-04-26,-47,-23,-52,-63,-40,12
Florida,2020-04-27,-38,-19,-39,-54,-44,17
Florida,2020-04-28,-38,-17,-39,-50,-45,13
Florida,2020-04-29,-38,-18,-36,-51,-45,18
Florida,2020-04-30,-40,-19,-47,-53,-46,19
Florida,2020-05-01,-36,-13,-27,-51,-43,18
Florida,2020-05-02,-40,-14,-31,-53,-32,11
Florida,2020-05-03,-40,-14,-30,-58,-35,10
Florida,2020-05-04,-32,-15,-30,-50,-41,15
Florida,2020-05-05,-31,-10,-29,-48,-41,16
Florida,2020-05-06,-33,-14,-26,-49,-41,16
Florida,2020-05-07,-33,-12,-23,-48,-41,16
Florida,2020-05-08,-33,-9,-20,-48,-40,17
Florida,2020-05-09,-33,-3,-26,-49,-28,9
Georgia,2020-02-15,5,1,42,4,1,-1
Georgia,2020-02-16,-2,-5,-19,-5,-3,1
Georgia,2020-02-17,4,1,24,0,-19,4
Georgia,2020-02-18,-4,-5,-23,1,-5,3
Georgia,2020-02-19,2,0,2,3,-2,1
Georgia,2020-02-20,-6,-7,-36,-1,-4,4
Georgia,2020-02-21,2,-1,23,4,-3,0
Georgia,2020-02-22,5,0,48,4,4,-1
Georgia,2020-02-23,2,1,20,3,1,-1
Georgia,2020-02-24,-5,-4,-21,-2,1,1
Georgia,2020-02-25,5,2,9,1,2,0
Georgia,2020-02-26,9,3,5,4,1,-1
Georgia,2020-02-27,10,5,6,6,2,-1
Georgia,2020-02-28,9,4,30,7,2,-2
Georgia,2020-02-29,13,6,40,12,4,-3
Georgia,2020-03-01,13,7,49,8,2,-2
Georgia,2020-03-02,4,3,-9,0,2,0
Georgia,2020-03-03,10,11,0,0,1,0
Georgia,2020-03-04,3,0,-19,-2,0,1
Georgia,2020-03-05,1,0,-30,-1,-1,2
Georgia,2020-03-06,7,3,44,5,1,-2
Georgia,2020-03-07,10,5,79,9,5,-2
Georgia,2020-03-08,8,4,57,4,1,-1
Georgia,2020-03-09,7,8,53,0,2,-1
Georgia,2020-03-10,5,8,18,-3,-1,1
Georgia,2020-03-11,6,7,38,0,-1,0
Georgia,2020-03-12,8,24,23,-2,-1,0
Georgia,2020-03-13,3,33,39,-5,-8,1
Georgia,2020-03-14,-4,17,50,-4,0,2
Georgia,2020-03-15,-12,8,2,-13,-9,3
Georgia,2020-03-16,-8,18,-4,-20,-20,7
Georgia,2020-03-17,-14,13,12,-21,-25,11
Georgia,2020-03-18,-18,7,24,-24,-29,12
Georgia,2020-03-19,-21,10,27,-29,-31,13
Georgia,2020-03-20,-24,8,46,-30,-32,13
Georgia,2020-03-21,-31,4,33,-27,-18,9
Georgia,2020-03-22,-39,-10,-18,-42,-29,10
Georgia,2020-03-23,-35,-6,-40,-43,-38,16
Georgia,2020-03-24,-35,-6,-23,-40,-41,18
Georgia,2020-03-25,-33,-8,19,-39,-42,17
Georgia,2020-03-26,-34,-8,3,-43,-43,18
Georgia,2020-03-27,-35,-9,33,-45,-42,18
Georgia,2020-03-28,-39,-10,14,-43,-28,12
Georgia,2020-03-29,-42,-17,-2,-52,-37,11
Georgia,2020-03-30,-34,-10,2,-47,-44,16
Georgia,2020-03-31,-37,-11,-36,-46,-47,20
Georgia,2020-04-01,-30,1,-5,-44,-47,18
Georgia,2020-04-02,-29,11,-15,-46,-47,19
Georgia,2020-04-03,-37,0,4,-50,-48,20
Georgia,2020-04-04,-50,-18,-18,-53,-36,16
Georgia,2020-04-05,-50,-22,-13,-59,-42,13
Georgia,2020-04-06,-40,-15,-3,-52,-50,19
Georgia,2020-04-07,-40,-14,-18,-50,-51,21
Georgia,2020-04-08,-39,-14,-6,-49,-52,20
Georgia,2020-04-09,-37,-10,-10,-51,-51,21
Georgia,2020-04-10,-37,-9,13,-53,-54,22
Georgia,2020-04-11,-40,-5,3,-53,-36,13
Georgia,2020-04-12,-63,-42,-57,-65,-49,14
Georgia,2020-04-13,-38,-16,-6,-52,-48,18
Georgia,2020-04-14,-34,-12,0,-48,-47,19
Georgia,2020-04-15,-27,-8,-2,-46,-48,18
Georgia,2020-04-16,-30,-9,-6,-48,-47,20
Georgia,2020-04-17,-33,-12,27,-49,-46,19
Georgia,2020-04-18,-36,-10,9,-47,-31,12
Georgia,2020-04-19,-50,-27,-58,-62,-42,14
Georgia,2020-04-20,-31,-12,-4,-51,-46,18
Georgia,2020-04-21,-30,-9,6,-47,-46,19
Georgia,2020-04-22,-30,-11,11,-46,-47,18
Georgia,2020-04-23,-40,-19,-50,-53,-49,23
Georgia,2020-04-24,-31,-10,22,-48,-45,18
Georgia,2020-04-25,-32,-8,20,-45,-28,11
Georgia,2020-04-26,-34,-11,4,-53,-36,10
Georgia,2020-04-27,-25,-8,14,-47,-43,16
Georgia,2020-04-28,-24,-6,15,-43,-45,12
Georgia,2020-04-29,-27,-9,-19,-45,-45,18
Georgia,2020-04-30,-23,-4,-15,-44,-45,18
Georgia,2020-05-01,-21,-2,45,-41,-43,15
Georgia,2020-05-02,-23,-1,46,-36,-25,8
Georgia,2020-05-03,-26,-4,39,-47,-30,8
Georgia,2020-05-04,-18,-3,19,-43,-41,14
Georgia,2020-05-05,-16,3,10,-40,-42,15
Georgia,2020-05-06,-18,-2,17,-40,-42,15
Georgia,2020-05-07,-18,-1,11,-41,-42,16
Georgia,2020-05-08,-23,-4,1,-43,-41,16
Georgia,2020-05-09,-17,11,29,-35,-21,7
Hawaii,2020-02-15,2,2,19,4,-1,0
Hawaii,2020-02-16,4,3,15,4,-1,-1
Hawaii,2020-02-17,5,-4,14,-2,-47,11
Hawaii,2020-02-18,0,-2,1,6,-1,1
Hawaii,2020-02-19,-1,-2,1,2,0,1
Hawaii,2020-02-20,2,1,6,2,0,0
Hawaii,2020-02-21,1,-1,7,2,2,0
Hawaii,2020-02-22,3,1,20,0,1,-1
Hawaii,2020-02-23,2,0,16,2,1,0
Hawaii,2020-02-24,1,-1,6,4,2,0
Hawaii,2020-02-25,1,0,5,1,0,1
Hawaii,2020-02-26,2,2,9,-1,1,0
Hawaii,2020-02-27,3,4,3,-1,0,0
Hawaii,2020-02-28,2,2,-1,-1,2,-1
Hawaii,2020-02-29,1,1,0,-1,1,0
Hawaii,2020-03-01,2,2,-7,0,1,1
Hawaii,2020-03-02,0,1,-7,-2,2,0
Hawaii,2020-03-03,1,5,0,-3,1,0
Hawaii,2020-03-04,-1,1,7,-6,1,0
Hawaii,2020-03-05,1,6,-1,-4,1,0
Hawaii,2020-03-06,-1,1,-8,-3,2,0
Hawaii,2020-03-07,0,4,4,-4,1,0
Hawaii,2020-03-08,0,2,3,-2,1,1
Hawaii,2020-03-09,-2,1,-6,-3,1,1
Hawaii,2020-03-10,-2,0,1,-4,0,1
Hawaii,2020-03-11,-2,1,4,-6,0,1
Hawaii,2020-03-12,-2,5,-12,-9,-1,2
Hawaii,2020-03-13,-4,9,-8,-8,-1,2
Hawaii,2020-03-14,-6,6,2,-9,-4,2
Hawaii,2020-03-15,-8,5,-7,-11,-5,3
Hawaii,2020-03-16,-10,7,-34,-15,-17,7
Hawaii,2020-03-17,-18,1,-43,-22,-23,12
Hawaii,2020-03-18,-20,0,-23,-27,-25,12
Hawaii,2020-03-19,-23,-2,-31,-31,-28,14
Hawaii,2020-03-20,-31,-5,-29,-34,-31,16
Hawaii,2020-03-21,-40,-14,-38,-40,-27,12
Hawaii,2020-03-22,-42,-16,-43,-43,-30,11
Hawaii,2020-03-23,-38,-15,-59,-44,-35,16
Hawaii,2020-03-24,-45,-22,-62,-50,-42,20
Hawaii,2020-03-25,-50,-30,-65,-56,-46,22
Hawaii,2020-03-26,-51,-32,-69,-66,-53,25
Hawaii,2020-03-27,-52,-32,-69,-66,-46,25
Hawaii,2020-03-28,-56,-36,-65,-70,-43,18
Hawaii,2020-03-29,-56,-36,-65,-72,-45,16
Hawaii,2020-03-30,-49,-31,-67,-64,-47,21
Hawaii,2020-03-31,-48,-31,-68,-64,-49,23
Hawaii,2020-04-01,-48,-30,-60,-66,-49,23
Hawaii,2020-04-02,-50,-27,-63,-69,-49,23
Hawaii,2020-04-03,-49,-23,-65,-68,-47,24
Hawaii,2020-04-04,-55,-29,-63,-73,-45,18
Hawaii,2020-04-05,-55,-26,-67,-76,-46,16
Hawaii,2020-04-06,-51,-26,-70,-68,-49,22
Hawaii,2020-04-07,-50,-27,-66,-67,-51,23
Hawaii,2020-04-08,-52,-30,-66,-68,-51,23
Hawaii,2020-04-09,-50,-27,-67,-69,-51,24
Hawaii,2020-04-10,-52,-29,-67,-72,-57,27
Hawaii,2020-04-11,-55,-29,-66,-74,-47,18
Hawaii,2020-04-12,-67,-38,-68,-77,-52,17
Hawaii,2020-04-13,-55,-33,-68,-68,-50,22
Hawaii,2020-04-14,-54,-32,-71,-70,-50,24
Hawaii,2020-04-15,-51,-28,-62,-67,-49,23
Hawaii,2020-04-16,-51,-28,-63,-69,-49,23
Hawaii,2020-04-17,-52,-30,-63,-68,-47,24
Hawaii,2020-04-18,-55,-30,-63,-72,-44,17
Hawaii,2020-04-19,-56,-32,-62,-75,-46,15
Hawaii,2020-04-20,-51,-29,-65,-67,-47,21
Hawaii,2020-04-21,-52,-30,-66,-67,-49,23
Hawaii,2020-04-22,-51,-30,-61,-68,-48,23
Hawaii,2020-04-23,-52,-30,-65,-69,-48,23
Hawaii,2020-04-24,-51,-30,-65,-69,-47,24
Hawaii,2020-04-25,-51,-29,-54,-71,-44,16
Hawaii,2020-04-26,-53,-30,-55,-74,-44,14
Hawaii,2020-04-27,-49,-28,-60,-66,-46,20
Hawaii,2020-04-28,-48,-28,-59,-67,-48,13
Hawaii,2020-04-29,-49,-29,-58,-67,-47,22
Hawaii,2020-04-30,-48,-25,-57,-65,-46,21
Hawaii,2020-05-01,-47,-24,-58,-65,-44,22
Hawaii,2020-05-02,-50,-26,-51,-69,-41,15
